eng	fra
I broke the law.	J'ai enfreint la loi.
He hardly works.	Il travaille à peine.
Let her sleep.	Laissez-la dormir.
I'm ready to go.	Je suis prêt à y aller.
Are you dressed?	Êtes-vous habillé ?
Be very careful.	Sois très prudent !
Sign this.	Signez ceci.
Can you cancel?	Peux-tu annuler ?
I feel honored.	Je me sens honorée.
Are you excited?	Êtes-vous énervé ?
Where was I?	Où étais-je ?
Do you hear me?	M'entendez-vous ?
I have no food.	Je n'ai pas de nourriture.
Make it smaller.	Rendez-la plus petite.
Did Tom fall?	Tom est-il tombé ?
She liked that.	Elle l'a apprécié.
Men are pigs.	Les hommes sont des cochons.
She cried.	Elle pleura.
I told you so.	Je vous l'avais dit !
Is that right?	Est-ce le cas ?
I was captured.	J'ai été fait prisonnier.
Stop grumbling.	Arrête de ronchonner.
I saw you.	Je vous ai vu.
Let me see it.	Laissez-moi les voir.
Tom loves Mary.	Tom adore Marie.
I am sure.	Je suis certain.
I surrendered.	Je me suis rendue.
I'm too drunk.	Je suis trop saoul.
I am new here.	Je suis nouveau ici.
Tom agrees.	Tom est d'accord.
Give me the key.	Donnez-moi la clé.
I have plans.	J'ai des plans.
I'm on holiday.	Je suis en congés.
You are early.	Tu viens tôt.
We'll miss Tom.	Tom nous manquera.
We did it.	Nous l'avons fait.
I let you down.	Je t'ai laissé tomber.
I must go.	Il me faut m'en aller.
Step inside.	Avancez à l'intérieur.
I hiccup a lot.	J'ai souvent le hoquet.
Try it again.	Essaie encore.
I've got you.	Je vous ai eus.
He was in pain.	Il souffrait.
Go to your room.	Allez dans votre chambre !
Hurry up, guys.	Maniez-vous, les mecs !
Are we broke?	Sommes-nous fauchés ?
Do you see me?	Me voyez-vous ?
I'm very sleepy.	J'ai très sommeil.
We forgot.	Nous avons oublié.
We're finished.	Nous en avons fini.
I feel young.	Je me sens jeune.
Are you a ghost?	Es-tu un fantôme ?
I have a lawyer.	J'ai une avocate.
She sued him.	Elle l'a poursuivi en justice.
It's a waste.	C'est un gaspillage.
I want you.	Je vous veux !
They just left.	Elles viennent de partir.
I'll be back.	Je reviens.
I'm downstairs.	Je suis en bas.
I got sick.	Je suis devenu malade.
I'm driving.	Je conduis.
Let him go.	Laissez-le s'en aller!
Act your age.	Comporte-toi comme quelqu'un de ton âge.
Tom drives.	Tom conduit.
Is he correct?	A-t-il raison ?
We can wait.	Nous pouvons attendre.
Make it quick.	Faites vite !
How can this be?	Comment cela se peut-il ?
I feel his pain.	Je compatis à sa douleur.
Come alone.	Viens seul !
Tom felt safe.	Tom se sentit en sécurité.
I left on time.	Je suis partie à l'heure.
Let's do it!	Mettons-nous y !
Let the boy go.	Laisse le garçon y aller.
You lied to me.	Vous me mentîtes.
Meet me at 2:30.	Rendez-vous à 14 h 30.
I canceled.	J’ai annulé.
I got upset.	J'ai été contrariée.
Sing us a song.	Chante-nous une chanson.
May I ask why?	Puis-je demander pourquoi ?
Anybody home?	Y a-t-il quelqu'un dans la maison ?
Is it important?	C'est grave ?
Don't buy that.	Ne gobe pas ça.
I said nothing.	Je ne dis rien.
Did I hurt you?	Vous ai-je blessé ?
He seems happy.	Il semble heureux.
I have a cat.	J'ai une chatte.
I said not now.	J'ai dit : pas maintenant.
I refuse.	Je refuse.
I'm fine.	Je vais bien.
Do it at once.	Fais-le immédiatement !
I want to drink.	Je veux boire.
Forget it!	Oubliez-le !
Life's not easy.	La vie n'est pas facile.
He is a teacher.	Il est enseignant.
You're a snob.	Tu es snob.
They lied.	Elles ont menti.
Tom said that.	Tom a dit ça.
Come alone.	Venez seules !
That's a plan.	C'est un plan.
We're shocked.	Nous sommes choqués.
Jesus wept.	Jésus pleura.
Say that again.	Redis ça !
I brought wine.	J'ai apporté du vin.
I can't use it.	Je ne peux pas l'utiliser.
He is young.	Il est jeune.
I'll pack.	Je plierai mes gaules.
I was detained.	J'ai été incarcérée.
You're tough.	Vous êtes dure.
Don't be rude.	Ne sois pas impolie !
I'm not going.	Je ne m'y rends pas.
We walked.	Nous sommes allées à pied.
He was wrong.	Il a eu tort.
I'm beautiful.	Je suis beau.
Keep singing.	Continue de chanter.
I had a mishap.	J'ai eu une mésaventure.
Can you swim?	Savez-vous nager ?
You're a thief.	Vous êtes un voleur.
Whose are they?	À qui sont-ils ?
Talk to me!	Parle-moi !
Don't sing.	Ne chantez pas.
I'll quit.	J'abandonnerai.
You're invited.	Vous êtes invitée.
I smelled bacon.	J'ai senti les poulets.
May I help you?	Puis-je vous aider ?
It's my turn.	C'est mon tour.
It's very clean.	C'est très propre.
It's my treat.	C'est ma tournée.
I didn't argue.	Je ne me suis pas disputée.
Use them all.	Utilise-les toutes !
Are you on dope?	Êtes-vous drogué ?
I'm eating now.	Je suis en train de manger.
I hate working.	Je déteste travailler.
Pour me a drink.	Verse-moi un verre !
Why is he busy?	Pourquoi est-il occupé ?
Wake up.	Réveillez-vous !
Get to bed.	Va au lit !
She got angry.	Elle s'est mise en colère.
Is that you?	Est-ce toi ?
We need rest.	Nous avons besoin de repos.
Show us the way.	Montre-nous le chemin !
Be a good boy.	Soyez un bon garçon !
I've had enough.	J'en ai assez avalé.
Is it happening?	Se produit-il ?
Am I alone here?	Est-ce que je suis seul ici?
You're amazing.	Vous êtes incroyable.
He bit his lip.	Il s'est mordu la lèvre.
What a mess!	Quelle pagaille !
It has a leak.	Il a une fuite.
Any questions?	Des questions ?
I am exhausted.	Je suis vanné.
I must go.	Je dois m'en aller.
I'm starving.	Je crève de faim !
It doesn't hurt.	Ça ne fait pas mal.
Tom had a gun.	Tom avait une arme.
You're bright.	Vous êtes brillant.
I'm thin.	Je suis mince.
You're weak.	Vous êtes faibles.
I know people.	Je connais des gens.
That meant no.	Ça voulait dire non.
She will try it.	Elle l'essayera.
I smell blood.	Je flaire le sang.
I appreciate it.	Je l'apprécie.
He came by car.	Il est venu en voiture.
We all know it.	Nous le savons toutes.
Wonderful!	À la bonne heure !
Are you lost?	Es-tu perdu ?
I'm a tourist.	Je suis un touriste.
He let us go.	Il nous laissa partir.
You will die.	Tu mourras.
I can manage.	Je peux me débrouiller.
Fold up the map.	Repliez la carte.
It could be fun.	Ça pourrait être marrant.
Allow me to go.	Permets-moi d'y aller !
I'm sorry.	Je suis désolé.
Hug me.	Serrez-moi dans vos bras !
I went for help.	Je suis partie quérir de l'aide.
He has changed.	Il a changé.
Grab the bottom.	Attrape le bas.
No way!	C'est hors de question !
I walked alone.	J'ai cheminé seul.
I got remarried.	Je me suis remariée.
Is this a joke?	S'agit-il d'une plaisanterie ?
I made a deal.	J'ai conclu un accord.
Tom dumped me.	Tom m'a largué.
I want that cat.	Je veux ce chat.
Everyone's fine.	Tout le monde va bien.
Stop shouting.	Arrêtez de crier.
Those are mine.	Ce sont les miens.
I don't bite.	Je ne mords pas.
She helped him.	Elle l'a aidé.
It's all gone.	Tout a disparu.
It's work.	C'est du boulot.
Keep it warm.	Garde-le au chaud.
This is a DVD.	Ceci est un DVD.
She went out.	Elle sortit.
Call me anytime.	Appelle-moi quand tu veux.
I have a gun.	J'ai une arme à feu.
Hang on!	Attends un peu !
I had an idea.	J'ai eu une idée.
Shut that door.	Fermez cette porte !
Stop worrying.	Arrête de t'inquiéter.
That's clear.	C'est clair.
Don't be mad.	Ne fais pas la tête.
Can they see us?	Sont-elles en mesure de nous voir ?
It's not secure.	Ce n'est pas sécurisé.
Flip a coin.	Lance une pièce !
I have to hurry!	Je dois me dépêcher !
He kept talking.	Il continuait à parler.
I felt safe.	Je me suis sentie en sécurité.
I give my word.	Je donne ma parole.
How old is he?	Quel âge a-t-il ?
Get your gear.	Allez chercher vos affaires !
She can swim.	Elle sait nager.
I have no idea.	Je n'en ai aucune idée.
We're too busy.	Nous sommes trop occupées.
Find Tom.	Trouve Tom.
You are big.	Vous êtes grand.
Birds fly.	Les oiseaux volent.
Tom is driving.	Tom conduit.
I have a ranch.	J'ai un ranch.
Enter the room.	Entrez dans la chambre.
I'm a happy man.	Je suis un homme heureux.
I'll just go.	Je vais juste y aller.
I saw you there.	Je vous y ai vu.
Is it your bike?	Est-ce que c'est ta bicyclette ?
I am busy today.	Je suis occupée aujourd’hui.
They let me go.	Ils m'ont laissée partir.
Am I stupid?	Suis-je idiote ?
That's hers.	C'est le sien.
We agree.	Nous sommes d'accord.
We all know it.	Nous le savons tous.
No one laughed.	Personne ne rit.
You can do it.	Vous pouvez le faire.
He saw the girl.	Il a vu la fille.
Keep that.	Garde ça.
You may go.	Vous pouvez partir.
I must go alone.	Il faut que j'y aille seule.
Are you coming?	Viens-tu ?
I'm a geologist.	Je suis géologue.
I miss college.	J'ai la nostalgie du lycée.
What for?	À quoi bon ?
Don't deny it.	Ne le niez pas !
Who saw me?	Qui m'a vu ?
I dozed.	Je me suis assoupie.
Nice timing.	Moins une !
He is a thief.	C'est un voleur.
Is Tom there?	Est-ce que Tom est là ?
I'm homesick.	J'ai le mal du pays.
We found it.	Nous l'avons trouvé.
Expect no mercy.	N'espérez aucune pitié !
They were busy.	Ils étaient occupés.
Let's try that.	Essayons cela.
I have homework.	J'ai des devoirs.
It works fine.	Ça marche bien.
It's instinct.	C'est l'instinct.
You're a star.	Tu es une célébrité.
Sheep eat grass.	Les moutons mangent de l'herbe.
Read this now.	Lis ça maintenant !
It's up to you.	Ça dépend de vous.
Are you joking?	Est-ce que tu blagues ?
I was a witness.	J'en ai été témoin.
I will fight.	Je me battrai.
We know him.	On le connaît.
Tom is bald.	Tom est chauve.
Is it nice?	Est-ce chouette ?
I lit the match.	J'ai enflammé l'allumette.
We're quitting.	Nous abandonnons.
You're clever.	Vous êtes malines.
I rang the bell.	Je fis retentir la cloche.
Do I have to go?	Dois-je y aller ?
Someone called.	Quelqu'un a téléphoné.
I'm naked.	Je me trouve nue.
Keep on smiling.	Restez souriante.
I have a visa.	Je dispose d'un visa.
Help!	À l'aide !
I'm an engineer.	Je suis ingénieur.
Sit here.	Asseyez-vous ici.
Act like a man.	Agissez en homme.
Turn it up.	Augmentez-le.
We're angry.	Nous sommes en colère.
I'm sick.	Je suis malade.
Who are we?	Qui sommes-nous ?
His word is law.	Sa parole est loi.
You're cruel.	Vous êtes cruel.
Let me in.	Laissez-moi rentrer.
That's a joke.	Il s'agit d'une blague.
It's ours.	C'est à nous.
It's bulky.	C'est encombrant.
Are you sleepy?	Avez-vous sommeil ?
I'm a TV addict.	Je suis accro à la télé.
I wasn't hired.	On ne m'a pas embauchée.
He seems tired.	Il a l'air fatigué.
Are you bored?	T'ennuies-tu ?
They left.	Ils sont partis.
Tom was poor.	Tom était pauvre.
Is this fake?	Est-ce du chiqué ?
Prices went up.	Les prix ont augmenté.
You're famous.	Vous êtes connus.
This is Japan.	Ceci est le Japon.
Who's watching?	Qui regarde ?
I was born here.	Je suis née ici.
I'm a friend.	Je suis une amie.
Don't be mean.	Ne soyez pas mesquine !
Do it again!	Refaites-le !
Aren't you hot?	N'avez-vous pas chaud ?
Is it yours?	Vous appartient-il ?
I'll call them.	Je leur téléphonerai.
I could walk.	Je pourrais marcher.
I like to run.	J'aime faire du jogging.
Is it you?	Est-ce toi ?
I've had enough.	J'en ai ras le bol.
Are you jealous?	Êtes-vous jaloux ?
Do I annoy you?	Est-ce que je vous ennuie ?
You're nuts!	Vous êtes givré !
Do as you like.	Fais comme tu veux.
Were you hurt?	As-tu été blessée ?
Be a good girl.	Sois une chic fille !
This is a sign.	C'est un signe !
It's inevitable.	C'est inévitable.
I relaxed.	Je me suis détendu.
So far, so good.	Tout va bien jusque-là.
Don't be scared.	N'ayez pas peur.
Here he is!	Il est ici !
He sells fruit.	Il vend des fruits.
I want to help.	Je veux aider.
Is it hot?	Est-ce chaud ?
I don't belong.	Je ne suis pas à ma place.
I cut myself.	Je me suis coupée.
Tom sighed.	Tom soupira.
Come and see me.	Venez me voir.
I'm in bed.	Je suis alité.
I need a cab.	J'ai besoin d'un taxi.
Go on.	Poursuivez.
I can't win.	Je ne peux gagner.
He came running.	Il vint en courant.
I'm shaken.	Je suis remué.
I hate insects.	Je déteste les insectes.
Tom spoke.	Tom a parlé.
I'm not selfish.	Je ne suis pas égoïste.
I'm thorough.	Je suis consciencieux.
How much is it?	Combien est-ce que ça coûte ?
We met earlier.	Nous nous sommes rencontrées plus tôt.
I saw you there.	Je vous y ai vue.
Is this serious?	Est-ce sérieux ?
Turn it off.	Éteignez-le !
Tom forgot.	Tom a oublié.
We are here.	Nous y sommes.
Is that my hat?	Est-ce mon chapeau ?
You look smart.	Vous avez l'air intelligents.
I'm yours.	Je suis à toi.
Tom'll come.	Tom va venir.
You're back.	Vous êtes de retour.
Drink some tea.	Bois un peu de thé.
Wash your feet.	Lavez-vous les pieds.
Many fish died.	Beaucoup de poissons ont péri.
I woke you up.	Je vous ai réveillés.
He did his best.	Il a fait de son mieux.
I have to go.	Je dois m'en aller.
I want to play.	Je veux jouer.
Wash up.	Lavez-vous !
They're twins.	Elles sont jumelles.
Mum's the word.	Motus et bouche cousue.
He betrayed you.	Il t'a trahie.
I need a weapon.	J'ai besoin d'une arme.
I was in agony.	J'étais à l'agonie.
She runs.	Elle court.
Is that so bad?	Est-ce tellement mauvais ?
I'm retired.	Je suis pensionnée.
I hate them.	Je les déteste.
Where were you?	Où étais-tu ?
He tricked me.	Il m'a floué.
They're alive.	Ils sont en vie.
I like your dog.	J'aime ton chien.
I'm curious.	Je suis curieux.
Hello, girls.	Salut les filles !
Tom said no.	Tom a dit non.
Grab that.	Attrapez ça !
We'll shoot.	Nous tirerons.
I just showered.	J'ai simplement pris une douche.
You did it!	C'est vous qui l'avez fait !
You're sleepy.	Vous êtes endormi.
I like to sing.	J’aime chanter.
I always lose.	Je perds toujours.
I designed it.	Je l'ai conçue.
I'm not a saint.	Je ne suis pas un saint.
I can do it.	Je peux y parvenir.
Congratulations!	Toutes mes félicitations !
I like sweets.	J'aime les sucreries.
Did you do it?	L'avez-vous fait ?
You're wise.	Vous êtes raisonnables.
Enjoy your meal!	Bon appétit !
That's mine.	C'est le mien.
We never voted.	Nous n'avons jamais voté.
I protested.	J’ai protesté.
I will testify.	Je témoignerai.
I need ice.	J'ai besoin de glace.
Life is crazy.	La vie est dingue.
We'll fail.	Nous échouerons.
How's your wife?	Comment va ta femme ?
Are you busy?	Es-tu occupé ?
Let me talk.	Laissez-moi parler.
Take your shot.	À toi de tirer !
I don't date.	Je ne sors pas avec des filles.
Tom's alive.	Tom est en vie.
Back off!	Reculez.
Sound the alarm!	Sonnez l'alarme !
That's a shame.	C'est honteux.
They're mine.	Elles sont à moi.
I was in a coma.	J'étais dans le coma.
Watch us.	Regarde-nous !
Never say never.	Il ne faut jamais dire jamais.
Tom is small.	Tom est petit.
Keep it.	Garde-le !
Say it clearly.	Dis-le clairement.
I didn't forget.	Je n'ai pas oublié.
I'm not a fan.	Je ne fais pas partie de ses admirateurs.
Now fix that.	Maintenant, répare ça.
You're pretty.	Vous êtes jolie.
Are you kidding?	Vous plaisantez ?
I'm punctual.	Je suis ponctuel.
It's midnight.	Il est minuit.
I'm stubborn.	Je suis têtue.
We lost.	Nous fûmes battues.
Fight like men.	Battez-vous comme des hommes.
I'm replaceable.	Je suis remplaçable.
Stay here.	Restez là !
I go to school.	Je vais à l'école.
Stay in bed.	Restez alitée !
I doubt it.	J'en doute.
Let's bounce.	Rebondissons !
I'm not bitter.	Je ne suis pas amère.
Wait!	Attends !
I'll change.	Je changerai.
I like to dance.	J'aime danser.
No comment.	Sans commentaire.
You're free.	Vous êtes libres.
You go first.	Je t'en prie.
You should eat.	Tu devrais manger.
Can you come?	Peux-tu venir ?
Let me find out.	Laissez-moi trouver !
Come and get it.	Viens le chercher.
My tummy hurts.	J'ai mal au bide.
I dislike eggs.	J'ai une aversion pour les œufs.
I miss my cat.	Mon chat me manque.
He's so young.	Il est tellement jeune.
Science is cool.	La science, c'est sympa !
I was trapped.	J'ai été piégée.
I saw him there.	Je l'y ai vu.
It's pretty new.	C'est assez nouveau.
It's funny.	C'est rigolo.
Be respectful.	Soyez respectueuses !
Hold still.	Tenez-vous tranquille !
I was disgusted.	J'étais dégoûtée.
Ask anyone.	Demande à n'importe qui.
Shut the door.	Ferme la porte !
We're not cops.	Nous ne sommes pas des flics.
I want you back.	Je veux que tu sois revenue.
Who is he?	Qui est-ce ?
I'm not sleepy.	Je n'ai pas sommeil.
Will you go?	Irez-vous ?
I like to dream.	J'aime rêver.
I go to work.	Je pars au boulot.
Are you thirsty?	As-tu soif ?
Bring that here.	Apporte ça ici.
I got expelled.	J'ai été expulsée.
You look happy.	Vous avez l'air heureux.
I woke you up.	Je vous ai réveillée.
I was speaking.	J'étais en train de parler.
I saw the file.	J'ai vu le dossier.
Beat the eggs.	Battez les œufs.
I'm very cold.	J'ai très froid.
I've had enough.	Je suis gavé.
I made dinner.	J'ai préparé à dîner.
We were alone.	Nous étions seules.
He was stoned.	Il a été lapidé.
That's a myth.	Il s'agit d'un mythe.
I'm hardworking.	Je suis appliquée.
I still do that.	Je le fais encore.
I'm not done.	Je n'en ai pas terminé.
It's quiet.	C'est silencieux.
Try it again.	Essaie de nouveau.
I called you.	Je t'ai appelé.
I burned it.	Je l'ai brûlée.
Who built it?	Qui l'a construite ?
May I go home?	Puis-je me rendre à la maison ?
I owe you a lot.	Je te dois beaucoup.
It sounds great!	Ça a l'air super !
Only God knows.	Dieu seul le sait.
Lie still.	Restez allongées, immobiles !
Are you up?	Êtes-vous debout ?
I have time.	J'ai du temps.
I like your car.	J'aime votre auto.
It's a weapon.	Il s'agit d'une arme.
He's not a liar.	Ce n'est pas un menteur.
I walked my dog.	J'ai promené mon chien.
He dumped me.	Il m'a laissée tomber.
This is a pen.	C'est un stylo à encre.
Be prepared.	Soyez prêts !
Is he busy?	Est-il occupé ?
Just ignore it.	Tu n'as qu'à l'ignorer !
I love coffee.	J'adore le café.
I'm not nervous.	Je ne suis pas nerveux.
Is Tom here?	Est-ce que Tom est ici ?
I noticed that.	J'ai remarqué cela.
It's right.	C'est juste.
Will you do it?	Le feras-tu ?
Shut your eyes.	Fermez les yeux.
Take it easy!	Cool, Raoul !
I want to quit.	Je veux laisser tomber.
I'll warn Tom.	Je préviendrai Tom.
I want to walk.	Je veux marcher.
I'm sick of you.	J'en ai marre de toi.
Tom lost.	Tom a perdu.
He cannot swim.	Il ne sait pas nager.
I want to fight.	Je veux me battre.
Easy does it.	On n'est pas aux pièces !
Are you ready?	Êtes-vous prêts ?
He's smart.	Il est intelligent.
Come join us.	Viens nous rejoindre !
No one escaped.	Personne ne s'est évadé.
Are you healthy?	Êtes-vous en bonne santé ?
Tom knows Mary.	Tom connaît Mary.
Can I come in?	Puis-je entrer ?
You're nice.	T'es sympa.
They lied.	Ils ont menti.
Keep that.	Gardez cela.
You look busy.	Vous avez l'air occupées.
You're good.	T'es bon.
Don't trust him.	Ne lui fais pas confiance.
I'm meditating.	Je suis en train de méditer.
I fixed it.	Je l'ai réparé.
Are they new?	Sont-elles nouvelles ?
I'm fussy.	Je suis tatillon.
It's obvious.	Cela coule de source.
I've been wrong.	J'ai eu tort.
I'm involved.	Je suis impliqué.
Do you follow?	Est-ce que tu suis ?
I feel lonely.	Je me sens seule.
Take a look.	Regardez !
We're shocked.	Nous sommes choquées.
I drank milk.	Je buvais du lait.
I can run.	Je sais courir.
I'm ready to go.	Je suis prêt pour partir.
She is a doctor.	Elle est toubib.
I had a seizure.	J'ai eu une attaque cardiaque.
I'm OK.	Ça va.
He likes soccer.	Il aime le foot.
Are you injured?	Êtes-vous blessés ?
Do you deny it?	Le nies-tu ?
School is over.	L'école est finie.
I know the girl.	Je connais cette fille.
Are you up?	Êtes-vous levé ?
I have a car.	J'ai une voiture.
Pack your gear.	Emballe ton matériel !
I am a bachelor.	Je suis célibataire.
We wonder why.	On se demande pourquoi.
Is it fatal?	Est-ce fatal ?
Find the cat.	Trouvez le chat.
I'm tired.	Je suis fatigué !
You were happy.	Vous étiez heureux.
I disagree.	Je ne suis pas d'accord.
I'm managing.	Je m'en sors.
Give me a towel.	Donne-moi une serviette.
I like football.	J'aime le football.
What do I have?	Qu'ai-je ?
They love Tom.	Elles aiment Tom.
Is your car new?	Votre voiture est-elle neuve ?
This dog bites.	Cette chienne mord.
I like mahjong.	J'aime le mah-jong.
I was offended.	J'ai été offensé.
It's too risky.	C'est trop risqué.
I remember.	Je m'en souviens.
I'll go.	J'irai.
I'm embarrassed.	Je suis gêné.
Wipe your eyes.	Essuyez-vous les yeux.
Be calm.	Sois calme !
That's a lie.	Il s'agit d'un mensonge.
Cut it out.	Assez !
Are they cops?	C'est des flics ?
How is life?	Comment est la vie ?
No one laughed.	Personne n'a ri.
I'm ugly.	Je suis laid.
I am not happy.	Je ne suis pas heureuse.
Tom drowned.	Tom s'est noyé.
They have come.	Ils sont venus.
Did you miss me?	T'ai-je manqué ?
May I come in?	Je peux entrer ?
Tom's famous.	Tom est connu.
Are we all here?	Sommes-nous toutes là ?
It is so early.	Il est si tôt.
I'm so fat.	Je suis tellement gros.
I kept my word.	Je tins parole.
This is a fake.	Il s'agit d'un faux.
Try some.	Essaies-en !
My hair is wet.	Mes cheveux sont mouillés
Don't freak out.	Ne flipe pas !
Have a snack.	Prends un en-cas !
I've got you.	Je t'ai eue.
I have an alibi.	J'ai un alibi.
I need a knife.	J'ai besoin d'un couteau.
Are you unlucky?	Es-tu malchanceux ?
Who's at home?	Qui est rentré?
Go to the store.	Va au magasin !
Taste it.	Goûtez-le.
Don't blame me.	Je n'y suis pour rien.
You're lost.	Tu es perdu.
It came apart.	C'est cassé.
I can't smoke.	Je ne peux pas fumer.
Who fell?	Qui est tombé ?
I'm not hurt.	Je ne suis pas blessé.
He can't sing.	Il ne sait pas chanter.
Have you slept?	Avez-vous dormi ?
This was easy.	Ce fut facile.
We caught you.	Nous t'avons attrapée.
It's incredible!	C'est incroyable !
Don't complain.	Ne vous plaignez pas.
Tom can't help.	Tom n'y peut rien.
No problem.	Sans problème.
Warn Tom.	Préviens Tom.
Now go have fun.	Maintenant, allez vous amuser.
They need help.	Ils ont besoin d'aide.
It's quite nice.	C'est plutôt chouette.
I'm flabby.	Je suis flasque.
Follow us.	Suivez-nous !
Natto is sticky.	Le natto est collant.
I will behave.	Je me tiendrai bien.
I'm greedy.	Je suis gourmande.
You're nuts!	T'es dingue !
I'm very upset.	Je suis très contrarié.
Dogs bark.	Les chiens aboient.
Make a wish.	Fais un souhait !
I'm correct.	J'ai raison.
You're skinny.	Tu es maigrichonne.
I had no clue.	Je n'en avais pas la moindre idée.
We all work.	Nous travaillons tous.
I was beaten.	J'ai été frappée.
Stay very still.	Restez bien tranquilles !
Get on a horse.	Enfourche un cheval !
Don't mind her.	Ne te soucie pas d'elle.
I'm rational.	Je suis rationnelle.
He is a poet.	Il est poète.
That's a lot!	C'est beaucoup !
Can you pitch?	Savez-vous lancer ?
What a hassle!	Quelle histoire !
I'm very shy.	Je suis très timide.
I don't agree.	Je ne suis pas d'accord.
Say goodbye.	Dis au revoir.
I'm getting old.	Je me fais vieille.
